text,label,category
中国东方资产管理股份有限公司浙江省分公司,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司关于浙江越威达纺织有限公司等2户债权资产包的处置公告,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O B-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM O O O O O O O O O O O O O,ASSET_DISPOSITION
东方拟以公开竞争性出售方式处置以下资产（以下称为“标的资产”，或根据上下文需要，系指任何单项标的资产）：,O O O O B-DIS I-DIS I-DIS I-DIS I-DIS I-DIS I-DIS O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,ASSET_DISPOSITION
对浙江省境内2户债务人所享有的债权及其附属担保权益，该等债权及其附属担保权益的所有人为中国东方资产管理股份有限公司浙江省分公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
"截至2022年5月31日，该等债权项下未偿本金人民币47,425,250.00元，未偿利息人民币24,270,544.64元及2020年2月26日至2022年5月31日止的相应利息罚息；",O O O O O O O O O O O O O O O O O O O O O O O O O O B-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,ASSET_DISPOSITION
0571-87163171（中国东方资产管理股份有限公司浙江省分公司纪检监察部门）,O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O O O O O O,ASSET_DISPOSITION
2022年6月23日,B-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司关于浙江兴日钢控股集团有限公司等5户债权资产的处置公告,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O B-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM O O O O O O O O O O O O,ASSET_DISPOSITION
东方拟以公开竞争性出售方式处置以下资产（以下称为“标的资产”，或根据上下文需要，系指任何单项标的资产）：,O O O O B-DIS I-DIS I-DIS I-DIS I-DIS I-DIS I-DIS O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,ASSET_DISPOSITION
对浙江省境内5户债务人所享有的债权及其附属担保权益，该等债权及其附属担保权益的所有人为中国东方资产管理股份有限公司浙江省分公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
"截至2022年8月31日，该等债权项下未偿本金人民币169,220,313.43元及相应利息罚息；",O O O O O O O O O O O O O O O O O O O O O O O O O O B-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA O O O O O O O O O,ASSET_DISPOSITION
（中国东方资产管理股份有限公司浙江省分公司纪检监察部门）,O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O O O O O O,ASSET_DISPOSITION
2022年9月28日,B-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司关于浙江天风汽车零部件有限公司等12户债权的处置公告,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O B-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM O O O O O O O O O O O,ASSET_DISPOSITION
东方拟以公开竞争性出售方式处置以下资产（以下称为“标的资产”，或根据上下文需要，系指任何单项标的资产）：,O O O O B-DIS I-DIS I-DIS I-DIS I-DIS I-DIS I-DIS O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,ASSET_DISPOSITION
户债务人所享有的债权及其附属担保权益，该等债权及其附属担保权益的所有人为中国东方资产管理股份有限公司浙江省分公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
"236,254,787.25",B-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA,ASSET_DISPOSITION
0571-87163171（中国东方资产管理股份有限公司浙江省分公司纪检监察部门）,O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O O O O O O,ASSET_DISPOSITION
2022年11月11日,B-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司关于浙江七大洲集团有限公司等3户债权资产的处置公告,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O B-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM O O O O O O O O O O O O,ASSET_DISPOSITION
东方拟以公开竞争性出售方式处置以下资产（以下称为“标的资产”，或根据上下文需要，系指任何单项标的资产）：,O O O O B-DIS I-DIS I-DIS I-DIS I-DIS I-DIS I-DIS O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,ASSET_DISPOSITION
对浙江省境内3户债务人所享有的债权及其附属担保权益，该等债权及其附属担保权益的所有人为中国东方资产管理股份有限公司浙江省分公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
"截至2022年7月31日，该等债权项下未偿本金人民币61,373,133.48元及相应利息罚息；",O O O O O O O O O O O O O O O O O O O O O O O O O O B-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA I-CLA O O O O O O O O O,ASSET_DISPOSITION
（中国东方资产管理股份有限公司浙江省分公司纪检监察部门）,O B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O O O O O O,ASSET_DISPOSITION
2022年10月24日,B-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM I-TIM,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC,ASSET_DISPOSITION
中国东方资产管理股份有限公司浙江省分公司关于浙江七大洲集团有限公司等2户债权资产的处置公告,B-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC I-AMC O O B-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM I-COM O O O O O O O O O O O O,ASSET_DISPOSITION
